[2026-06-19T14:36:04.806Z] GET https://jenslaufer.com/convex/ → 200 (155ms, 12179B)
[2026-06-19T14:36:04.979Z] GET https://fonts.googleapis.com/css2?family=Newsreader:ital,opt,wght@0,8..60,400;0,8..60,500;0,8..60,600;1,8..60,400&family=IBM+Plex+Mono:wght@400;500;600&family=Inter:wght@400;500;600&display=swap → pending (?ms, ?B)
[2026-06-19T14:36:53.173Z] GET https://jenslaufer.com/convex/ → 200 (1ms, -677B)
[2026-06-19T14:36:53.181Z] GET https://fonts.googleapis.com/css2?family=Newsreader:ital,opt,wght@0,8..60,400;0,8..60,500;0,8..60,600;1,8..60,400&family=IBM+Plex+Mono:wght@400;500;600&family=Inter:wght@400;500;600&display=swap → pending (?ms, ?B)
[2026-06-19T14:37:28.397Z] GET https://jenslaufer.com/convex/ → 200 (2ms, -677B)
[2026-06-19T14:37:28.407Z] GET https://fonts.googleapis.com/css2?family=Newsreader:ital,opt,wght@0,8..60,400;0,8..60,500;0,8..60,600;1,8..60,400&family=IBM+Plex+Mono:wght@400;500;600&family=Inter:wght@400;500;600&display=swap → pending (?ms, ?B)
[2026-06-19T14:40:09.137Z] GET file:///tmp/convex-test.html → 200 (22ms, 38257B)
[2026-06-19T14:40:09.186Z] GET https://fonts.googleapis.com/css2?family=Newsreader:ital,opt,wght@0,8..60,400;0,8..60,500;0,8..60,600;1,8..60,400&family=IBM+Plex+Mono:wght@400;500;600&family=Inter:wght@400;500;600&display=swap → pending (?ms, ?B)
[2026-06-19T14:41:07.774Z] GET file:///tmp/convex-test.html → 200 (3ms, 38605B)
[2026-06-19T14:41:07.798Z] GET https://fonts.googleapis.com/css2?family=Newsreader:ital,opt,wght@0,8..60,400;0,8..60,500;0,8..60,600;1,8..60,400&family=IBM+Plex+Mono:wght@400;500;600&family=Inter:wght@400;500;600&display=swap → pending (?ms, ?B)
[2026-06-19T14:41:29.627Z] GET file:///tmp/convex-test.html → 200 (2ms, 38605B)
[2026-06-19T14:41:29.641Z] GET https://fonts.googleapis.com/css2?family=Newsreader:ital,opt,wght@0,8..60,400;0,8..60,500;0,8..60,600;1,8..60,400&family=IBM+Plex+Mono:wght@400;500;600&family=Inter:wght@400;500;600&display=swap → pending (?ms, ?B)
[2026-06-19T14:43:20.251Z] GET https://jenslaufer.com/convex/ → 200 (3ms, -677B)
[2026-06-19T14:43:20.286Z] GET https://fonts.googleapis.com/css2?family=Newsreader:ital,opt,wght@0,8..60,400;0,8..60,500;0,8..60,600;1,8..60,400&family=IBM+Plex+Mono:wght@400;500;600&family=Inter:wght@400;500;600&display=swap → pending (?ms, ?B)
[2026-06-19T14:44:22.597Z] GET https://jenslaufer.com/convex/ → 200 (3ms, -677B)
[2026-06-19T14:44:22.613Z] GET https://fonts.googleapis.com/css2?family=Newsreader:ital,opt,wght@0,8..60,400;0,8..60,500;0,8..60,600;1,8..60,400&family=IBM+Plex+Mono:wght@400;500;600&family=Inter:wght@400;500;600&display=swap → pending (?ms, ?B)
[2026-06-19T14:44:35.730Z] GET https://jenslaufer.com/convex/?v=2 → 200 (111ms, 12343B)
